network,source_edge,target_edge,ground_truth_distance,bin
grid_11x11,D5E5,D2C2,5,near
grid_11x11,C9D9,B9B8,3,near
grid_11x11,I4J4,J2J3,3,near
grid_11x11,H4H3,F3G3,3,near
grid_11x11,A5A4,A4B4,1,near
grid_11x11,A3B3,J2J3,10,medium
grid_11x11,J2I2,B4C4,10,medium
grid_11x11,G9F9,B2C2,12,medium
grid_11x11,B3B4,C9B9,7,medium
grid_11x11,D10D9,G3H3,10,medium
grid_11x11,I0J0,B6A6,15,far
grid_11x11,A10B10,J4K4,15,far
grid_11x11,K10K9,C1C2,17,far
grid_11x11,A7A6,J1I1,15,far
grid_11x11,B1C1,G9H9,13,far
random,1005,-7,4,near
random,-625,-319,1,near
random,-15,333,3,near
random,-126,-125,2,near
random,-674,650,1,near
random,-1535,9,8,medium
random,-621,492,8,medium
random,1427,1027,11,medium
random,-1523,1767,8,medium
random,1431,-870,12,medium
random,-1773,-1201,15,far
random,-1523,-618,16,far
random,867,-1882,17,far
random,1373,-1388,13,far
random,1343,1891,15,far
