network,type,edge_id,question,ground_truth
grid_11x11,junction_coord,H8,"What are the x, y coordinates of the junction with id H8? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","1400.0, 1600.0"
grid_11x11,junction_coord,I5,"What are the x, y coordinates of the junction with id I5? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","1600.0, 1000.0"
grid_11x11,junction_coord,K3,"What are the x, y coordinates of the junction with id K3? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","2000.0, 600.0"
grid_11x11,junction_coord,G2,"What are the x, y coordinates of the junction with id G2? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","1200.0, 400.0"
grid_11x11,junction_coord,B3,"What are the x, y coordinates of the junction with id B3? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","200.0, 600.0"
grid_11x11,junction_coord,G8,"What are the x, y coordinates of the junction with id G8? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","1200.0, 1600.0"
grid_11x11,junction_coord,E9,"What are the x, y coordinates of the junction with id E9? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","800.0, 1800.0"
grid_11x11,junction_coord,A9,"What are the x, y coordinates of the junction with id A9? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","0.0, 1800.0"
grid_11x11,junction_coord,A10,"What are the x, y coordinates of the junction with id A10? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","0.0, 2000.0"
grid_11x11,junction_coord,C4,"What are the x, y coordinates of the junction with id C4? Answer format: <x>, <y> rounded to 2 decimal places (e.g. 150.0, 200.5)","400.0, 800.0"
