edge,Q6_max_density_road
A0A1 edge removed,D
A10A9 edge removed,9
A10B10 edge removed,3
A1A2 edge removed,1
A1B1 edge removed,1
A2B2 edge removed,2
A3A4 edge removed,B
A3B3 edge removed,9
A4A5 edge removed,4
A5A6 edge removed,5
A5B5 edge removed,4
A6A7 edge removed,6
A6B6 edge removed,6
A7A8 edge removed,7
A7B7 edge removed,B
A8A9 edge removed,9
A8B8 edge removed,8
A9B9 edge removed,B
B0B1 edge removed,0
B0C0 edge removed,1
B10B9 edge removed,C
B10C10 edge removed,C
B1C1 edge removed,2
B2B3 edge removed,C
B2C2 edge removed,8
B3B4 edge removed,C
B3C3 edge removed,4
B4B5 edge removed,C
B4C4 edge removed,0
B5B6 edge removed,C
B5C5 edge removed,6
B7B8 edge removed,C
B7C7 edge removed,6
B8C8 edge removed,8
B9C9 edge removed,C
C0D0 edge removed,D
C10C9 edge removed,C
C10D10 edge removed,8
C1C2 edge removed,2
C2C3 edge removed,3
C2D2 edge removed,C
C4C5 edge removed,B
C4D4 edge removed,5
C5C6 edge removed,6
C5D5 edge removed,6
C6C7 edge removed,7
C6D6 edge removed,7
C7D7 edge removed,6
C8C9 edge removed,9
C8D8 edge removed,7
C9D9 edge removed,8
D0D1 edge removed,1
D0E0 edge removed,D
D10D9 edge removed,F
D10E10 edge removed,D
D1D2 edge removed,E
D1E1 edge removed,2
D2E2 edge removed,3
D3D4 edge removed,E
D3E3 edge removed,4
D4D5 edge removed,E
D4E4 edge removed,5
D5D6 edge removed,5
D5E5 edge removed,6
D6D7 edge removed,E
D7D8 edge removed,C
D7E7 edge removed,6
D8E8 edge removed,E
D9E9 edge removed,8
E0E1 edge removed,1
E0F0 edge removed,E
E10E9 edge removed,F
E1F1 edge removed,2
E2E3 edge removed,D
E2F2 edge removed,3
E3E4 edge removed,F
E3F3 edge removed,4
E4E5 edge removed,F
E4F4 edge removed,5
E6E7 edge removed,F
E6F6 edge removed,5
E7E8 edge removed,F
E7F7 edge removed,6
E8E9 edge removed,8
E9F9 edge removed,8
F0F1 edge removed,G
F0G0 edge removed,0
F10G10 edge removed,G
F1G1 edge removed,4
F2F3 edge removed,G
F2G2 edge removed,3
F3G3 edge removed,4
F4F5 edge removed,E
F5F6 edge removed,G
F5G5 edge removed,6
F6F7 edge removed,G
F6G6 edge removed,F
F7F8 edge removed,8
F8F9 edge removed,G
F8G8 edge removed,7
F9G9 edge removed,8
G0G1 edge removed,9
G10G9 edge removed,9
G1G2 edge removed,F
G1H1 edge removed,2
G2G3 edge removed,E
G3H3 edge removed,4
G4G5 edge removed,4
G4H4 edge removed,5
G5G6 edge removed,6
G6G7 edge removed,F
G7G8 edge removed,H
G8G9 edge removed,9
G8H8 edge removed,H
G9H9 edge removed,8
H0I0 edge removed,H
H10H9 edge removed,H
H10I10 edge removed,9
H1H2 edge removed,G
H1I1 edge removed,0
H2H3 edge removed,I
H3H4 edge removed,G
H3I3 edge removed,4
H4H5 edge removed,G
H4I4 edge removed,5
H5H6 edge removed,G
H5I5 edge removed,6
H6H7 edge removed,6
H6I6 edge removed,H
H7H8 edge removed,G
H7I7 edge removed,8
H8H9 edge removed,J
H8I8 edge removed,4
H9I9 edge removed,8
I0I1 edge removed,F
I10J10 edge removed,0
I1I2 edge removed,H
I1J1 edge removed,4
I2J2 edge removed,9
I3I4 edge removed,H
I3J3 edge removed,7
I4I5 edge removed,J
I5I6 edge removed,6
I5J5 edge removed,6
I6I7 edge removed,7
I6J6 edge removed,6
I7I8 edge removed,8
I7J7 edge removed,J
I8J8 edge removed,4
I9J9 edge removed,8
J0K0 edge removed,D
J10J9 edge removed,I
J10K10 edge removed,F
J1J2 edge removed,1
J1K1 edge removed,J
J2J3 edge removed,I
J3J4 edge removed,I
J3K3 edge removed,4
J4J5 edge removed,I
J4K4 edge removed,5
J5J6 edge removed,I
J5K5 edge removed,F
J6J7 edge removed,I
J7J8 edge removed,I
J7K7 edge removed,8
J8J9 edge removed,I
J8K8 edge removed,F
J9K9 edge removed,7
K0K1 edge removed,3
K1K2 edge removed,2
K2K3 edge removed,1
K3K4 edge removed,4
K4K5 edge removed,5
K6K7 edge removed,I
K7K8 edge removed,8
K8K9 edge removed,8
