network,type,edge_id,question,ground_truth
random,is_highway,1526,Is the edge with id 1526 a highway? Please answer with yes or no.,no
random,is_highway,1493,Is the edge with id 1493 a highway? Please answer with yes or no.,no
random,is_highway,-608,Is the edge with id -608 a highway? Please answer with yes or no.,no
random,is_highway,-876,Is the edge with id -876 a highway? Please answer with yes or no.,no
random,is_highway,-1431,Is the edge with id -1431 a highway? Please answer with yes or no.,no
random,is_highway,-381,Is the edge with id -381 a highway? Please answer with yes or no.,no
random,is_highway,848,Is the edge with id 848 a highway? Please answer with yes or no.,no
random,is_highway,-7,Is the edge with id -7 a highway? Please answer with yes or no.,no
random,is_highway,-361,Is the edge with id -361 a highway? Please answer with yes or no.,no
random,is_highway,535,Is the edge with id 535 a highway? Please answer with yes or no.,no
