network,type,question,ground_truth
random,shortest_path_full,What is the shortest path from junction 1344 to junction 118? List the edges and junctions in order.,1344 -> -1345 -> 1010 -> -1342 -> 1092 -> -1093 -> 1004 -> -1029 -> 727 -> -728 -> 10 -> -11 -> 1 -> 3 -> 2 -> 15 -> 14 -> 119 -> 118
random,shortest_path_full,What is the shortest path from junction 331 to junction 324? List the edges and junctions in order.,331 -> -332 -> 118 -> -119 -> 14 -> 117 -> 37 -> 325 -> 324
random,shortest_path_full,What is the shortest path from junction 10 to junction 839? List the edges and junctions in order.,10 -> -11 -> 1 -> 3 -> 2 -> 15 -> 14 -> 119 -> 118 -> 332 -> 331 -> 592 -> 591 -> 642 -> 641 -> 840 -> 839
random,shortest_path_full,What is the shortest path from junction 881 to junction 12? List the edges and junctions in order.,881 -> -882 -> 638 -> -639 -> 318 -> -319 -> 37 -> -38 -> 12
random,shortest_path_full,What is the shortest path from junction 1200 to junction 578? List the edges and junctions in order.,1200 -> -1201 -> 1026 -> 1199 -> 1198 -> -1343 -> 1092 -> -1093 -> 1004 -> -1005 -> 611 -> -612 -> 576 -> 608 -> 607 -> -614 -> 578
random,shortest_path_full,What is the shortest path from junction 63 to junction 622? List the edges and junctions in order.,63 -> 326 -> 115 -> -313 -> 37 -> 319 -> 318 -> 623 -> 622
random,shortest_path_full,What is the shortest path from junction 8 to junction 503? List the edges and junctions in order.,8 -> 19 -> 18 -> 123 -> 122 -> 338 -> 337 -> 505 -> 503
random,shortest_path_full,What is the shortest path from junction 1056 to junction 1500? List the edges and junctions in order.,1056 -> -1057 -> 522 -> -1415 -> 1356 -> -1357 -> 879 -> 1494 -> 1446 -> -1447 -> 1372 -> -1427 -> 1362 -> 1429 -> 1428 -> 1501 -> 1500
random,shortest_path_full,What is the shortest path from junction 1498 to junction 503? List the edges and junctions in order.,1498 -> -1499 -> 1428 -> -1429 -> 1362 -> 1427 -> 1372 -> 1447 -> 1446 -> -1494 -> 879 -> 1357 -> 1356 -> 1415 -> 522 -> -523 -> 337 -> 505 -> 503
random,shortest_path_full,What is the shortest path from junction 1881 to junction 335? List the edges and junctions in order.,1881 -> -1882 -> 1522 -> -1523 -> 1428 -> -1429 -> 1362 -> 1427 -> 1372 -> 1447 -> 1446 -> -1494 -> 879 -> 1357 -> 1356 -> 1415 -> 522 -> -523 -> 337 -> -338 -> 122 -> 336 -> 335
