network,type,edge_id,question,ground_truth
random,immediate_predecessors,523,"What are the edge id(s) that can come immediately before the edge with id 523? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-505, -517, -523, 338"
random,immediate_predecessors,-326,"What are the edge id(s) that can come immediately before the edge with id -326? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","116, 313, 326"
random,immediate_predecessors,-870,"What are the edge id(s) that can come immediately before the edge with id -870? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","679, 696, 870"
random,immediate_predecessors,-319,"What are the edge id(s) that can come immediately before the edge with id -319? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-621, -623, -625, -639, 319"
random,immediate_predecessors,-728,"What are the edge id(s) that can come immediately before the edge with id -728? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-1029, -870, 728"
random,immediate_predecessors,870,"What are the edge id(s) that can come immediately before the edge with id 870? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-1029, -870, 728"
random,immediate_predecessors,-867,"What are the edge id(s) that can come immediately before the edge with id -867? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)",867
random,immediate_predecessors,344,"What are the edge id(s) that can come immediately before the edge with id 344? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-344, 125, 126, 570"
random,immediate_predecessors,1883,"What are the edge id(s) that can come immediately before the edge with id 1883? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-1883, -1891, 1526"
random,immediate_predecessors,1501,"What are the edge id(s) that can come immediately before the edge with id 1501? Answer format: <edge_id1>, <edge_id2>, ... or 'None' (e.g. E1, E4)","-1499, -1501, -1517, -1523, 1429"
