network,type,edge_id,question,ground_truth
random,from_junction,1526,What is the id of the from-junction for the edge with id 1526? Answer format: <junction_id> (e.g. J1),1430
random,from_junction,1493,What is the id of the from-junction for the edge with id 1493? Answer format: <junction_id> (e.g. J1),1424
random,from_junction,-608,What is the id of the from-junction for the edge with id -608? Answer format: <junction_id> (e.g. J1),607
random,from_junction,-876,What is the id of the from-junction for the edge with id -876? Answer format: <junction_id> (e.g. J1),875
random,from_junction,-1431,What is the id of the from-junction for the edge with id -1431? Answer format: <junction_id> (e.g. J1),1430
random,from_junction,-381,What is the id of the from-junction for the edge with id -381? Answer format: <junction_id> (e.g. J1),209
random,from_junction,848,What is the id of the from-junction for the edge with id 848? Answer format: <junction_id> (e.g. J1),649
random,from_junction,-7,What is the id of the from-junction for the edge with id -7? Answer format: <junction_id> (e.g. J1),6
random,from_junction,-361,What is the id of the from-junction for the edge with id -361? Answer format: <junction_id> (e.g. J1),360
random,from_junction,535,What is the id of the from-junction for the edge with id 535? Answer format: <junction_id> (e.g. J1),364
